lote_id,t_utc,t_local,bt_min_k,bt_mean_k,n_pix,btd_wv_ir_max,btd_split_min,f235,f225,f215,f205,enfriamiento_k_10min,score_escena
punto,2026-07-31T13:00:21.500000+00:00,2026-07-31T10:00:21.500000-03:00,285.90190710127354,288.10627478754907,243,-49.113985016942024,1.2617969885468483,0,0,0,0,,0.0
punto,2026-07-31T13:10:21.500000+00:00,2026-07-31T10:10:21.500000-03:00,284.4270274192095,288.0682796157731,243,-47.00535745918751,1.2172703295946121,0,0,0,0,,0.0
punto,2026-07-31T13:20:21.500000+00:00,2026-07-31T10:20:21.500000-03:00,281.6001746952534,286.8956248582809,243,-44.47425374388695,0.6726537793874741,0,0,0,0,,0.0
punto,2026-07-31T13:30:21.500000+00:00,2026-07-31T10:30:21.500000-03:00,281.17000145465136,287.2524032422195,243,-44.297579653561115,0.6404812857508659,0,0,0,0,,0.0
punto,2026-07-31T13:40:21.500000+00:00,2026-07-31T10:40:21.500000-03:00,282.7063344568014,287.8464470264536,243,-46.383160814642906,1.3828111290931702,0,0,0,0,,0.0
punto,2026-07-31T13:50:21.500000+00:00,2026-07-31T10:50:21.500000-03:00,285.4102805405855,287.9298953752499,243,-47.988610580563545,1.4442644491791725,0,0,0,0,,0.0
punto,2026-07-31T14:00:21.500000+00:00,2026-07-31T11:00:21.500000-03:00,282.0918012559414,287.61355720361144,243,-44.9236304461956,0.9392845556139946,0,0,0,0,,0.0
punto,2026-07-31T14:10:21.500000+00:00,2026-07-31T11:10:21.500000-03:00,277.3598956093192,286.87734619929205,243,-40.445223949849606,1.059193693101406,0,0,0,0,,0.0
punto,2026-07-31T14:20:21.500000+00:00,2026-07-31T11:20:21.500000-03:00,280.0023883730173,287.41971912242906,243,-43.00321699678898,1.1596020087599754,0,0,0,0,,0.0
punto,2026-07-31T14:30:21.500000+00:00,2026-07-31T11:30:21.500000-03:00,281.7845346555114,287.46837875935745,243,-44.32061483711004,0.9960595443844795,0,0,0,0,,0.0
punto,2026-07-31T14:40:21.500000+00:00,2026-07-31T11:40:21.500000-03:00,277.91297549009323,288.0922511192334,243,-40.61805510520935,1.330820307135582,0,0,0,0,,0.0
punto,2026-07-31T14:50:21.500000+00:00,2026-07-31T11:50:21.500000-03:00,264.3932450711727,287.6311525375124,243,-30.985311657190323,1.0650828629732132,0,0,0,0,,0.0
punto,2026-07-31T15:00:21.500000+00:00,2026-07-31T12:00:21.500000-03:00,246.38742228597403,279.8836999732617,243,-14.584983490407467,0.7068246081471443,0,0,0,0,,0.0
